word,idx,Type
A,0,Add_datastore
B,1,Resize_process
C,2,Refresh
D,3,Edit_dataflow
E,4,Move_process
F,5,Paste_dataflow
G,6,ChangeTail_dataflow
H,7,ChangeHead_dataflow
I,8,Paste_process
J,9,ShiftLabel_dataflow
K,10,Edit_datastore
L,11,Edit_process
M,12,Add_dataflow
N,13,Move_externalentity
O,14,Add_externalentity
P,15,Move_datastore
Q,16,Add_process
R,17,Resize_externalentity
S,18,Move_node?
T,19,LinkReshape_dataflow
U,20,Paste_?
V,21,Paste_datastore
W,22,Edit_externalentity
X,23,ShiftLink_dataflow
Y,24,Paste_externalentity
Z,25,Resize_datastore
a,26,Delete_externalentity
b,27,Delete_process
c,28,Delete_datastore
d,29,Delete_dataflow
e,30,Undo
f,31,Redo
g,32,ChangeTail_externalentity
h,33,ChangeHead_externalentity
i,34,ChangeTail_process
j,35,ChangeHead_process
k,36,ChangeTail_datastore
l,37,ChangeHead_datastore
